Date,Open,High,Low,Close,Adj Close,Volume
2019-11-26,53.450001,53.480000,53.009998,53.160000,49.203228,2382900
2019-11-27,52.980000,53.110001,52.700001,52.880001,48.944077,2213000
2019-11-29,52.520000,52.650002,52.410000,52.540001,48.629387,515200
2019-12-02,52.360001,52.520000,52.110001,52.209999,48.323944,1513400
2019-12-03,51.619999,52.040001,51.290001,51.830002,47.972229,1385800
2019-12-04,52.160000,52.470001,52.080002,52.290001,48.397984,1758700
2019-12-05,52.790001,52.810001,52.279999,52.290001,48.397984,1256400
2019-12-06,52.669998,53.160000,52.669998,52.980000,49.036633,1293500
2019-12-09,52.810001,53.040001,52.529999,52.630001,48.712681,1077300
2019-12-10,52.630001,52.889999,52.459999,52.540001,48.629387,1833300
2019-12-11,52.660000,52.889999,52.459999,52.680000,48.758961,1085000
2019-12-12,52.759998,53.360001,52.730000,53.130001,49.175468,1167500
2019-12-13,53.500000,53.779999,52.959999,52.959999,49.018116,1538900
2019-12-16,53.910000,53.990002,53.689999,53.700001,49.703037,1755200
2019-12-17,54.459999,54.599998,54.090000,54.230000,50.193588,1168500
2019-12-18,54.310001,54.340000,53.980000,54.299999,50.258377,1673000
2019-12-19,54.330002,54.560001,54.240002,54.410000,50.360195,1615300
2019-12-20,54.590000,54.630001,54.240002,54.369999,50.323166,2364900
2019-12-23,54.430000,55.040001,54.389999,55.040001,50.943302,2000100
2019-12-24,54.810001,55.000000,54.759998,54.779999,50.702652,464300
2019-12-26,54.869999,55.270000,54.869999,55.110001,51.008091,646600
2019-12-27,55.150002,55.220001,54.980000,54.980000,50.887768,1019300
2019-12-30,55.320000,55.400002,55.090000,55.090000,50.989586,1414200
2019-12-31,55.099998,55.310001,54.980000,55.299999,51.183949,565800
2020-01-02,55.139999,55.279999,54.830002,55.270000,51.844318,1166500
2020-01-03,55.270000,55.720001,55.220001,55.470001,52.031921,1519000
2020-01-06,56.730000,56.910000,56.169998,56.509998,53.007458,3516900
2020-01-07,56.310001,56.330002,55.700001,56.189999,52.707287,2463000
2020-01-08,55.939999,56.099998,55.610001,55.849998,52.388367,2831400
2020-01-09,55.590000,56.040001,55.250000,55.880001,52.416512,2293500
2020-01-10,55.560001,55.630001,55.270000,55.459999,52.022541,3621700
2020-01-13,55.000000,55.450001,54.799999,55.400002,51.966263,3270400
2020-01-14,54.799999,54.860001,54.520000,54.689999,51.300262,1864800
