Date,Open,High,Low,Close,Adj Close,Volume
2019-11-26,118.339996,118.559998,117.199997,117.790001,111.473663,10053100
2019-11-27,117.989998,118.610001,117.620003,118.070000,111.738647,4106100
2019-11-29,117.279999,117.820000,116.879997,117.129997,110.849045,3271000
2019-12-02,117.980003,118.070000,116.720001,116.800003,110.536751,5195200
2019-12-03,116.199997,116.699997,115.699997,115.889999,109.675537,6135800
2019-12-04,116.639999,117.300003,116.430000,116.940002,110.669243,5706700
2019-12-05,117.620003,117.739998,116.190002,116.330002,110.091957,5517500
2019-12-06,117.089996,119.290001,116.980003,118.010002,111.681870,6735300
2019-12-09,116.519997,117.889999,116.440002,117.300003,111.009933,4736100
2019-12-10,118.029999,118.089996,117.050003,117.889999,111.568298,4886800
2019-12-11,117.089996,117.660004,116.129997,116.230003,109.997314,7039600
2019-12-12,116.589996,118.889999,116.589996,118.809998,112.438965,6462000
2019-12-13,119.050003,119.540001,117.900002,117.959999,111.634537,4863400
2019-12-16,118.860001,119.470001,118.610001,119.360001,112.959473,5619300
2019-12-17,119.589996,119.889999,118.330002,118.599998,112.240227,6755500
2019-12-18,118.680000,119.639999,118.519997,118.550003,112.192902,7496700
2019-12-19,118.570000,118.739998,117.860001,118.129997,111.795425,6220300
2019-12-20,119.400002,119.940002,118.089996,119.680000,113.262314,12171100
2019-12-23,119.309998,120.400002,119.150002,120.330002,113.877464,5875000
2019-12-24,120.430000,120.779999,120.089996,120.339996,113.886909,1640100
2019-12-26,120.669998,121.419998,120.339996,120.599998,114.132973,3648600
2019-12-27,120.889999,121.290001,120.239998,120.300003,113.849068,4138300
2019-12-30,120.440002,121.339996,119.809998,119.849998,113.423195,4580200
2019-12-31,119.500000,120.629997,119.250000,120.510002,114.047806,4215700
2020-01-02,120.809998,121.629997,120.769997,121.430000,114.918457,5205000
2020-01-03,121.779999,122.720001,120.739998,121.010002,114.520988,6360900
2020-01-06,121.239998,121.669998,120.330002,120.599998,114.132973,9953000
2020-01-07,119.019997,119.730003,117.769997,119.059998,112.675552,7856900
2020-01-08,118.550003,119.089996,117.650002,117.699997,111.388489,7295900
